UNIQUE_NUMBER,Years_Present,TESTING_DATE
070RF,2022,10/6/2023
070RF,2023,10/6/2023
070RF,2024,10/6/2023
070RG,2022,10/6/2023
070RG,2023,10/6/2023
070RG,2024,10/6/2023
070RH,2022,10/6/2023
070RH,2023,10/6/2023
070RH,2024,10/6/2023
070RJ,2022,9/27/2023
070RJ,2023,9/27/2023
070RJ,2024,9/27/2023
070RK,2022,9/27/2023
070RK,2023,9/27/2023
070RK,2024,9/27/2023
070RL,2022,9/27/2023
070RL,2023,9/27/2023
070RL,2024,9/27/2023
070RM,2022,9/27/2023
070RM,2023,9/27/2023
070RM,2024,9/27/2023
070RN,2022,9/27/2023
070RN,2023,9/27/2023
070RN,2024,9/27/2023
070RP,2022,9/27/2023
070RP,2023,9/27/2023
070RP,2024,9/27/2023
070RQ,2022,9/27/2023
070RQ,2023,9/27/2023
070RQ,2024,9/27/2023
070RR,2022,9/27/2023
070RR,2023,9/27/2023
070RR,2024,9/27/2023
070RT,2022,10/6/2023
070RT,2023,10/6/2023
070RT,2024,10/6/2023
070RV,2022,10/6/2023
070RV,2023,10/6/2023
070RV,2024,10/6/2023
070RW,2022,10/6/2023
070RW,2023,10/6/2023
070RW,2024,10/6/2023
070RX,2022,10/6/2023
070RX,2023,10/6/2023
070RX,2024,10/6/2023
070RY,2022,10/6/2023
070RY,2023,10/6/2023
070RY,2024,10/6/2023
070T0,2022,10/6/2023
070T0,2023,10/6/2023
070T0,2024,10/6/2023
070T1,2022,7/22/2024
070T1,2023,7/22/2024
070T1,2024,7/22/2024
070T2,2022,10/6/2023
070T2,2023,10/6/2023
070T2,2024,10/6/2023
070T3,2022,10/6/2023
070T3,2023,10/6/2023
070T3,2024,10/6/2023
070T4,2022,7/11/2023
070T4,2023,7/11/2023
070T5,2022,10/9/2023
070T5,2023,10/9/2023
070T6,2022,10/6/2023
070T6,2023,10/6/2023
070T6,2024,10/6/2023
070T7,2023,NA
070T7,2024,NA
070T8,2023,NA
070T8,2024,NA
070T9,2023,NA
070T9,2024,NA
070TB,2023,10/22/2024
070TB,2024,10/22/2024
070TC,2023,NA
070TC,2024,NA
070TF,2023,NA
070TF,2024,NA
070TG,2023,NA
070TG,2024,NA
070TH,2023,5/9/2024
070TH,2024,5/9/2024
070TJ,2023,NA
070TJ,2024,NA
070TK,2023,NA
070TK,2024,NA
070TL,2023,NA
070TL,2024,NA
070TM,2023,NA
070TM,2024,NA
070TN,2023,NA
070TN,2024,NA
070TP,2023,NA
070TP,2024,NA
070TQ,2023,NA
070TQ,2024,NA
070TR,2023,NA
070TR,2024,NA
070TT,2023,NA
070TT,2024,NA
070TV,2023,NA
070TV,2024,NA
070TW,2023,7/24/2024
070TW,2024,7/24/2024
0FE6,2020,1/6/2023
0FE6,2021,1/6/2023
0FE6,2022,1/6/2023
0GAQ,2016,NA
0GAQ,2017,NA
0GAQ,2018,NA
0GAQ,2019,NA
0GAR,2016,NA
0GAR,2017,NA
0GAR,2018,NA
0GAR,2019,NA
0GAT,2016,NA
0GAT,2017,NA
0GAT,2018,NA
0GAT,2019,NA
0GAV,2016,2/29/2024
0GAV,2017,2/29/2024
0GAV,2018,2/29/2024
0GAV,2019,2/29/2024
0GAV,2020,2/29/2024
0GAW,2016,NA
0GAW,2017,NA
0GAW,2018,NA
0GAW,2019,NA
0GAX,2016,NA
0GAX,2017,NA
0GAX,2018,NA
0GAX,2019,NA
0GAY,2018,7/1/2021
0GAY,2019,7/1/2021
0GAY,2020,7/1/2021
0GAY,2021,7/1/2021
0GBA,2016,NA
0GBA,2017,NA
0GCA,2016,NA
0GCA,2017,NA
0GCA,2018,NA
0GCA,2019,NA
0GFA,2016,2/28/2019
0GFA,2017,2/28/2019
0GFA,2018,2/28/2019
0GGA,2016,NA
0GGA,2017,NA
0GGA,2018,NA
0GGA,2019,NA
0GHA,2016,NA
0GHA,2017,NA
0GHA,2018,NA
0GHA,2019,NA
0GJA,2016,NA
0GJA,2017,NA
0GJA,2018,NA
0GJA,2019,NA
0GKA,2016,NA
0GKA,2017,NA
0GKA,2018,NA
0GKA,2019,NA
0GLA,2016,NA
0GLA,2017,NA
0GLA,2018,NA
0GLA,2019,NA
0GMA,2016,NA
0GMA,2017,NA
0GMA,2018,NA
0GMA,2019,NA
0GNA,2016,NA
0GNA,2017,NA
0GNA,2018,NA
0GNA,2019,NA
0GPA,2018,7/1/2021
0GPA,2019,7/1/2021
0GPA,2020,7/1/2021
0GPA,2021,7/1/2021
0GQA,2018,2/3/2023
0GQA,2019,2/3/2023
0GQA,2020,2/3/2023
0GQA,2021,2/3/2023
0GQA,2022,2/3/2023
0GQA,2023,2/3/2023
0GRA,2016,NA
0GRA,2017,NA
0GRA,2018,NA
0GRA,2019,NA
0GTA,2016,NA
0GTA,2017,NA
0GTA,2018,NA
0GTA,2019,NA
0GVA,2017,NA
0GVA,2018,NA
0GVA,2019,NA
0GVA,2020,NA
0GWA,2017,NA
0GWA,2018,NA
0GWA,2019,NA
0GXA,2016,NA
0GXA,2017,NA
0GYA,2016,11/6/2023
0GYA,2017,11/6/2023
0GYA,2018,11/6/2023
0H0A,2016,2/5/2024
0H0A,2017,2/5/2024
0H0A,2018,2/5/2024
0H0A,2019,2/5/2024
0H1A,2017,NA
0H1A,2018,NA
0H1A,2019,NA
0H1A,2020,NA
0H2A,2017,NA
0H2A,2018,NA
0H2A,2019,NA
0H3A,2016,NA
0H3A,2017,NA
0H3A,2018,NA
0H3A,2019,NA
0H4A,2016,3/7/2018
0H4A,2017,3/7/2018
0H5A,2016,NA
0H5A,2017,NA
0H5A,2018,NA
0H5A,2019,NA
0H6A,2018,7/1/2021
0H6A,2019,7/1/2021
0H6A,2020,7/1/2021
0H6A,2021,7/1/2021
0H7A,2016,12/1/2021
0H7A,2017,12/1/2021
0H7A,2018,12/1/2021
0H7A,2019,12/1/2021
0H7A,2020,12/1/2021
0H7A,2021,12/1/2021
0H8A,2016,NA
0H8A,2017,NA
0H9A,2019,3/30/2022
0H9A,2020,3/30/2022
0H9A,2021,3/30/2022
0HA0,2016,NA
0HA0,2017,NA
0HA1,2017,NA
0HA1,2018,NA
0HA1,2019,NA
0HA1,2020,NA
0HA2,2016,10/18/2024
0HA2,2017,10/18/2024
0HA2,2018,10/18/2024
0HA2,2019,10/18/2024
0HA2,2020,10/18/2024
0HA2,2021,10/18/2024
0HA2,2022,10/18/2024
0HA2,2023,10/18/2024
0HA2,2024,10/18/2024
0HA3,2016,8/15/2023
0HA3,2017,8/15/2023
0HA3,2018,8/15/2023
0HA3,2019,8/15/2023
0HA4,2016,NA
0HA4,2017,NA
0HA5,2016,2/28/2019
0HA5,2017,2/28/2019
0HA5,2018,2/28/2019
0HA6,2016,2/3/2023
0HA6,2017,2/3/2023
0HA6,2018,2/3/2023
0HA6,2019,2/3/2023
0HA6,2020,2/3/2023
0HA6,2021,2/3/2023
0HA6,2022,2/3/2023
0HA6,2023,2/3/2023
0HA7,2016,9/27/2023
0HA7,2017,9/27/2023
0HA7,2018,9/27/2023
0HA7,2019,9/27/2023
0HA7,2020,9/27/2023
0HA7,2021,9/27/2023
0HA7,2022,9/27/2023
0HA7,2023,9/27/2023
0HA7,2024,9/27/2023
0HA8,2016,2/28/2019
0HA8,2017,2/28/2019
0HA8,2018,2/28/2019
0HA9,2016,NA
0HA9,2017,NA
0HA9,2018,NA
0HA9,2019,NA
0HAA,2016,NA
0HAA,2017,NA
0HAA,2018,NA
0HAA,2019,NA
0HAB,2016,NA
0HAB,2017,NA
0HAB,2018,NA
0HAB,2019,NA
0HAC,2016,1/26/2018
0HAC,2017,1/26/2018
0HAF,2016,NA
0HAF,2017,NA
0HAF,2018,NA
0HAF,2019,NA
0HAG,2016,NA
0HAG,2017,NA
0HAG,2018,NA
0HAG,2019,NA
0V1E,2019,9/27/2023
0V1E,2020,9/27/2023
0V1E,2021,9/27/2023
0V1E,2022,9/27/2023
0V1E,2023,9/27/2023
0V1E,2024,9/27/2023
21E4,2019,NA
3CA4,2018,10/5/2023
3CA4,2019,10/5/2023
3CA4,2020,10/5/2023
3CA9,2017,2/28/2019
3CA9,2018,2/28/2019
3EPF,2019,NA
4NEL,2019,8/7/2023
4NEL,2020,8/7/2023
4NEL,2021,8/7/2023
4NEN,2019,6/16/2022
4NEN,2020,6/16/2022
4NEN,2021,6/16/2022
4NEN,2022,6/16/2022
4NEP,2019,10/6/2023
4NEP,2020,10/6/2023
4NEP,2021,10/6/2023
4NEP,2022,10/6/2023
4NEP,2023,10/6/2023
4NEP,2024,10/6/2023
4NEQ,2019,6/28/2021
4NEQ,2020,6/28/2021
4NEQ,2021,6/28/2021
4NER,2019,NA
4NER,2020,NA
4NEX,2019,NA
4NEX,2020,NA
4NFE,2019,3/2/2022
4NFE,2020,3/2/2022
4NFE,2021,3/2/2022
4NFE,2022,3/2/2022
4NGE,2019,3/2/2022
4NGE,2020,3/2/2022
4NGE,2021,3/2/2022
4NGE,2022,3/2/2022
4NHE,2019,3/2/2022
4NHE,2020,3/2/2022
4NHE,2021,3/2/2022
4NHE,2022,3/2/2022
4NLE,2019,3/2/2022
4NLE,2020,3/2/2022
4NLE,2021,3/2/2022
4NLE,2022,3/2/2022
4NME,2019,3/2/2022
4NME,2020,3/2/2022
4NME,2021,3/2/2022
4NME,2022,3/2/2022
4NNE,2019,3/2/2022
4NNE,2020,3/2/2022
4NNE,2021,3/2/2022
4NNE,2022,3/2/2022
4NPE,2019,3/2/2022
4NPE,2020,3/2/2022
4NPE,2021,3/2/2022
4NPE,2022,3/2/2022
4NTE,2019,8/14/2023
4NTE,2020,8/14/2023
4NTE,2021,8/14/2023
4NTE,2022,8/14/2023
4NVE,2019,3/2/2022
4NVE,2020,3/2/2022
4NVE,2021,3/2/2022
4NVE,2022,3/2/2022
4NXE,2019,3/2/2022
4NXE,2020,3/2/2022
4NXE,2021,3/2/2022
4NXE,2022,3/2/2022
4P0E,2019,11/6/2023
4P0E,2020,11/6/2023
4P0E,2021,11/6/2023
4P0E,2022,11/6/2023
4P1E,2019,2/3/2023
4P1E,2020,2/3/2023
4P1E,2021,2/3/2023
4P1E,2022,2/3/2023
4P1E,2023,2/3/2023
4XXA,2018,7/18/2023
4XXA,2019,7/18/2023
4XXA,2020,7/18/2023
4Y1A,2018,7/18/2023
4Y1A,2019,7/18/2023
4Y1A,2020,7/18/2023
500A,2019,NA
50A2,2018,7/18/2023
50A2,2019,7/18/2023
50A2,2020,7/18/2023
5G20,2015,12/1/2021
5G20,2016,12/1/2021
5G20,2017,12/1/2021
5G20,2018,12/1/2021
5G20,2019,12/1/2021
5G20,2020,12/1/2021
5G20,2021,12/1/2021
5W4E,2019,NA
5W4E,2020,NA
5W6E,2019,11/3/2022
5W8E,2019,9/12/2023
5XPA,2019,NA
5XPA,2020,NA
5XYA,2018,12/1/2021
5XYA,2019,12/1/2021
5XYA,2020,12/1/2021
5XYA,2021,12/1/2021
7ANN,2019,NA
7ANN,2020,NA
7B4H,2018,1/24/2023
7B4H,2019,1/24/2023
7B4H,2020,1/24/2023
7B4H,2021,1/24/2023
7B4H,2022,1/24/2023
95A9,2019,2/3/2023
95A9,2020,2/3/2023
95A9,2021,2/3/2023
95A9,2022,2/3/2023
95A9,2023,2/3/2023
96AM,2019,9/27/2023
96AM,2020,9/27/2023
96AM,2021,9/27/2023
96AM,2022,9/27/2023
96AM,2023,9/27/2023
96AQ,2019,1/6/2023
96AQ,2020,1/6/2023
96AQ,2021,1/6/2023
96AQ,2022,1/6/2023
97WA,2019,2/22/2024
97WA,2020,2/22/2024
97WA,2021,2/22/2024
97WA,2022,2/22/2024
97WA,2023,2/22/2024
97WA,2024,2/22/2024
993A,2019,11/30/2019
9NCW,2015,NA
9NCW,2016,NA
A2VP,2017,NA
A2VP,2018,NA
A2VP,2019,NA
A2VP,2020,NA
A2VQ,2017,NA
A2VQ,2018,NA
A2VQ,2019,NA
A2VQ,2020,NA
A2VR,2017,NA
A2VR,2018,NA
A2VT,2017,NA
A2VT,2018,NA
A2VT,2019,NA
A2VT,2020,NA
A2VV,2018,12/30/2019
A2VV,2019,12/30/2019
A2VW,2017,NA
A2VW,2018,NA
A2VW,2019,NA
A2VW,2020,NA
A2VX,2019,3/2/2022
A2VX,2020,3/2/2022
A2VX,2021,3/2/2022
A2VX,2022,3/2/2022
A2VY,2017,2/28/2019
A2VY,2018,2/28/2019
A2W0,2017,NA
A2W0,2018,NA
A2W1,2017,12/1/2021
A2W1,2018,12/1/2021
A2W1,2019,12/1/2021
A2W1,2020,12/1/2021
A2W1,2021,12/1/2021
A2W2,2018,2/22/2024
A2W2,2019,2/22/2024
A2W2,2020,2/22/2024
A2W2,2021,2/22/2024
A2W2,2022,2/22/2024
A2W2,2023,2/22/2024
A2W2,2024,2/22/2024
A2W3,2018,7/1/2021
A2W3,2019,7/1/2021
A2W3,2020,7/1/2021
A2W3,2021,7/1/2021
A2W4,2017,NA
A2W4,2018,NA
A2W4,2019,NA
A2W5,2018,7/1/2021
A2W5,2019,7/1/2021
A2W5,2020,7/1/2021
A2W5,2021,7/1/2021
A2W6,2017,NA
A2W6,2018,NA
A2W6,2019,NA
A2W6,2020,NA
A2W7,2019,3/2/2022
A2W7,2020,3/2/2022
A2W7,2021,3/2/2022
A2W7,2022,3/2/2022
A2W8,2019,3/2/2022
A2W8,2020,3/2/2022
A2W8,2021,3/2/2022
A2W8,2022,3/2/2022
A2W9,2017,NA
A2W9,2018,NA
A2W9,2019,NA
A2W9,2020,NA
A2WA,2017,NA
A2WA,2018,NA
A2WA,2019,NA
A2WA,2020,NA
A2WA,2021,NA
A2WB,2017,NA
A2WB,2018,NA
A2WB,2019,NA
A2WC,2017,NA
A2WC,2018,NA
A2WC,2019,NA
A2WC,2020,NA
A2WF,2017,NA
A2WF,2018,NA
A2WF,2019,NA
A2WG,2017,11/30/2019
A2WG,2018,11/30/2019
A2WG,2019,11/30/2019
A2WH,2018,NA
A2WH,2019,NA
A2WH,2020,NA
A2WJ,2017,NA
A2WJ,2018,NA
A2WJ,2019,NA
A2WK,2018,5/22/2021
A2WK,2019,5/22/2021
A2WL,2019,3/2/2022
A2WL,2020,3/2/2022
A2WL,2021,3/2/2022
A2WL,2022,3/2/2022
A2WM,2018,NA
A2WM,2019,NA
A2WM,2020,NA
A2WM,2021,NA
A2WN,2018,NA
A2WN,2019,NA
A2WR,2019,1/4/2021
A2WR,2020,1/4/2021
A2WT,2018,NA
A2WT,2019,NA
A2WT,2020,NA
A2WV,2019,2/27/2021
A2WV,2020,2/27/2021
A2WW,2019,NA
A2WW,2020,NA
A2WX,2017,NA
A2WX,2018,NA
A2WX,2019,NA
A2WX,2020,NA
A2WY,2017,2/28/2019
A2WY,2018,2/28/2019
A2X1,2017,NA
A2X1,2018,NA
A2X1,2019,NA
A2X2,2017,NA
A2X2,2018,NA
A2X2,2019,NA
A2X3,2017,NA
A2X3,2018,NA
A2X4,2017,NA
A2X4,2018,NA
A2X4,2019,NA
A2X4,2020,NA
A2X5,2017,NA
A2X5,2018,NA
A2X5,2019,NA
A2X5,2020,NA
A2X6,2017,NA
A2X6,2018,NA
A2X6,2019,NA
A2X7,2017,NA
A2X7,2018,NA
A2X7,2019,NA
A2X7,2020,NA
A2X8,2017,NA
A2X8,2018,NA
A2X8,2019,NA
A2X9,2017,NA
A2X9,2018,NA
A2X9,2019,NA
A2XA,2017,NA
A2XA,2018,NA
A2XA,2019,NA
A2XA,2020,NA
A2XB,2018,NA
A2XB,2019,NA
A2XB,2020,NA
A2XC,2017,12/30/2019
A2XC,2018,12/30/2019
A2XC,2019,12/30/2019
A2XF,2017,NA
A2XF,2018,NA
A2XG,2018,7/1/2021
A2XG,2019,7/1/2021
A2XG,2020,7/1/2021
A2XG,2021,7/1/2021
A2XJ,2017,NA
A2XJ,2018,NA
A2XJ,2019,NA
A2XJ,2020,NA
A2XK,2019,3/30/2022
A2XK,2020,3/30/2022
A2XK,2021,3/30/2022
A2XL,2018,12/1/2020
A2XL,2019,12/1/2020
A2XL,2020,12/1/2020
A2XM,2017,9/15/2024
A2XN,2017,NA
A2XN,2018,NA
A2XN,2019,NA
A2XN,2020,NA
A2XP,2018,2/9/2023
A2XQ,2017,12/14/2020
A2XQ,2018,12/14/2020
A2XQ,2019,12/14/2020
A2XQ,2020,12/14/2020
A4B3,2017,2/28/2019
A4B3,2018,2/28/2019
A4KF,2019,7/1/2021
A4KF,2020,7/1/2021
A4KF,2021,7/1/2021
A4KM,2019,9/27/2023
A4KM,2020,9/27/2023
A4KM,2021,9/27/2023
A4KM,2022,9/27/2023
A4KM,2023,9/27/2023
A4KM,2024,9/27/2023
A4RG,2019,7/1/2021
A4RG,2020,7/1/2021
A4RG,2021,7/1/2021
A4TT,2019,10/6/2023
A4TT,2020,10/6/2023
A4TT,2021,10/6/2023
A4TT,2022,10/6/2023
A4TT,2023,10/6/2023
A4TT,2024,10/6/2023
A7G9,2017,NA
A7G9,2018,NA
A7G9,2019,NA
A7G9,2020,NA
A7GA,2018,10/6/2023
A7GA,2019,10/6/2023
A7GA,2020,10/6/2023
A7GA,2021,10/6/2023
A7GA,2022,10/6/2023
A7GA,2023,10/6/2023
A7GA,2024,10/6/2023
A7GB,2018,7/18/2022
A7GB,2019,7/18/2022
A7GB,2020,7/18/2022
A7GB,2021,7/18/2022
A7GC,2017,2/28/2019
A7GC,2018,2/28/2019
A7GG,2017,NA
A7GG,2018,NA
A7GG,2019,NA
A7GH,2017,NA
A7GH,2018,NA
A7GH,2019,NA
A7GH,2020,NA
A7GJ,2019,3/2/2022
A7GJ,2020,3/2/2022
A7GJ,2021,3/2/2022
A7GJ,2022,3/2/2022
A7GK,2019,3/3/2022
A7GL,2018,12/30/2019
A7GL,2019,12/30/2019
A7GM,2017,7/1/2021
A7GM,2018,7/1/2021
A7GM,2019,7/1/2021
A7GM,2020,7/1/2021
A7GM,2021,7/1/2021
A7GN,2018,7/1/2021
A7GN,2019,7/1/2021
A7GN,2020,7/1/2021
A7GN,2021,7/1/2021
A7GP,2017,12/1/2021
A7GP,2018,12/1/2021
A7GP,2019,12/1/2021
A7GP,2020,12/1/2021
A7GP,2021,12/1/2021
A7GP,2022,12/1/2021
A7GQ,2018,NA
A7GQ,2019,NA
A7GQ,2020,NA
A7GR,2017,NA
A7GR,2018,NA
A7GR,2019,NA
A7GR,2020,NA
A7GT,2017,7/1/2021
A7GT,2018,7/1/2021
A7GT,2019,7/1/2021
A7GT,2020,7/1/2021
A7GT,2021,7/1/2021
A7GV,2017,NA
A7GV,2018,NA
A7GV,2019,NA
A7GW,2018,9/11/2023
A7GX,2018,NA
A7GX,2019,NA
A7GX,2020,NA
A7GX,2021,NA
A7GY,2019,NA
A7GY,2020,NA
A7H0,2019,3/2/2022
A7H0,2020,3/2/2022
A7H0,2021,3/2/2022
A7H0,2022,3/2/2022
A7H2,2019,3/2/2022
A7H2,2020,3/2/2022
A7H2,2021,3/2/2022
A7H2,2022,3/2/2022
A7H3,2018,7/1/2021
A7H3,2019,7/1/2021
A7H3,2020,7/1/2021
A7H3,2021,7/1/2021
A7H4,2018,12/21/2023
A7H4,2019,12/21/2023
A7H4,2020,12/21/2023
A7H4,2021,12/21/2023
A7H4,2022,12/21/2023
ANG3,2021,9/14/2023
ANG3,2022,9/14/2023
ANG3,2023,9/14/2023
AQ04,2019,6/29/2023
AR52,2019,9/27/2023
AR52,2020,9/27/2023
AR52,2021,9/27/2023
AR52,2022,9/27/2023
AR52,2023,9/27/2023
AR52,2024,9/27/2023
B81A,2019,12/7/2020
B81A,2020,12/7/2020
BJAA,2019,12/1/2021
BJAA,2020,12/1/2021
BJAA,2021,12/1/2021
BL6F,2015,1/12/2018
BL6F,2016,1/12/2018
BL6F,2017,1/12/2018
BLG5,2015,7/26/2016
BLG5,2016,7/26/2016
BLG5,2017,7/26/2016
BLG5,2018,7/26/2016
BLG5,2019,7/26/2016
C71C,2014,NA
C71C,2015,NA
C71C,2016,NA
C71F,2014,9/9/2015
C71F,2015,9/9/2015
C71L,2014,NA
C71L,2015,NA
C71L,2016,NA
CFA9,2019,4/6/2021
CFA9,2020,4/6/2021
CFA9,2021,4/6/2021
CKWA,2019,11/30/2019
FAA7,2019,11/7/2023
FAA7,2020,11/7/2023
FAA9,2019,2/3/2023
FAA9,2020,2/3/2023
FAA9,2021,2/3/2023
FAA9,2022,2/3/2023
FAA9,2023,2/3/2023
FAAA,2019,3/13/2021
FAAA,2020,3/13/2021
FAAB,2019,9/27/2023
FAAB,2020,9/27/2023
FAAB,2021,9/27/2023
FAAB,2022,9/27/2023
FAAB,2023,9/27/2023
FAAB,2024,9/27/2023
FAAG,2019,NA
FAAG,2020,NA
FAAH,2019,10/6/2023
FAAH,2020,10/6/2023
FAAH,2021,10/6/2023
FAAH,2022,10/6/2023
FAAH,2023,10/6/2023
FAAH,2024,10/6/2023
FAAK,2021,7/24/2023
FAAK,2022,7/24/2023
FAAK,2023,7/24/2023
FAAK,2019,7/24/2023
FAAL,2019,9/27/2023
FAAL,2020,9/27/2023
FAAL,2021,9/27/2023
FAAL,2022,9/27/2023
FAAL,2023,9/27/2023
FAAM,2019,NA
FAAM,2020,NA
FAAM,2021,NA
FAAN,2019,10/6/2023
FAAN,2020,10/6/2023
FAAN,2021,10/6/2023
FAAN,2022,10/6/2023
FAAN,2023,10/6/2023
FAAN,2024,10/6/2023
FAAQ,2019,12/1/2021
FAAQ,2020,12/1/2021
FAAQ,2021,12/1/2021
FAAT,2019,2/22/2024
FAAT,2020,2/22/2024
FAAT,2021,2/22/2024
FAAT,2022,2/22/2024
FAAT,2023,2/22/2024
FAAT,2024,2/22/2024
FAAV,2019,12/1/2021
FAAV,2020,12/1/2021
FAAV,2021,12/1/2021
FAAW,2019,10/8/2022
FAAW,2020,10/8/2022
FAAW,2021,10/8/2022
FAAX,2019,1/16/2023
FAAY,2019,NA
FAAY,2020,NA
FAB0,2019,3/2/2022
FAB0,2020,3/2/2022
FAB0,2021,3/2/2022
FAB0,2022,3/2/2022
FAB1,2019,1/24/2023
FAB1,2020,1/24/2023
FAB1,2021,1/24/2023
FAB1,2022,1/24/2023
FAB2,2019,3/2/2022
FAB2,2020,3/2/2022
FAB2,2021,3/2/2022
FAB2,2022,3/2/2022
FAB3,2018,NA
FAB3,2019,NA
FAB4,2019,9/19/2023
FAB4,2020,9/19/2023
FAB4,2021,9/19/2023
FAB4,2022,9/19/2023
FAB4,2023,9/19/2023
FAB5,2018,8/16/2019
FAB5,2019,8/16/2019
FAB6,2019,12/1/2021
FAB6,2020,12/1/2021
FAB6,2021,12/1/2021
FAB7,2018,1/31/2022
FAB7,2019,1/31/2022
FAB7,2020,1/31/2022
FAB7,2021,1/31/2022
FAB8,2019,NA
FAB8,2020,NA
FAB9,2019,12/1/2021
FAB9,2020,12/1/2021
FAB9,2021,12/1/2021
FABA,2019,12/1/2021
FABA,2020,12/1/2021
FABA,2021,12/1/2021
FABA,2022,12/1/2021
FABB,2019,NA
FABB,2020,NA
FABC,2019,NA
FABC,2020,NA
FABF,2018,7/1/2021
FABF,2019,7/1/2021
FABF,2020,7/1/2021
FABF,2021,7/1/2021
FABG,2018,7/1/2021
FABG,2019,7/1/2021
FABG,2020,7/1/2021
FABG,2021,7/1/2021
FABH,2019,3/2/2022
FABH,2020,3/2/2022
FABH,2021,3/2/2022
FABH,2022,3/2/2022
FABJ,2019,NA
FABJ,2020,NA
FABK,2018,12/1/2021
FABK,2019,12/1/2021
FABK,2020,12/1/2021
FABK,2021,12/1/2021
FABL,2018,12/1/2021
FABL,2019,12/1/2021
FABL,2020,12/1/2021
FABL,2021,12/1/2021
FABM,2019,NA
FABM,2020,NA
FABN,2019,10/6/2023
FABN,2020,10/6/2023
FABN,2021,10/6/2023
FABN,2022,10/6/2023
FABN,2023,10/6/2023
FABN,2024,10/6/2023
FABP,2018,7/1/2021
FABP,2019,7/1/2021
FABP,2020,7/1/2021
FABP,2021,7/1/2021
FABQ,2019,3/25/2022
FABQ,2020,3/25/2022
FABQ,2021,3/25/2022
FABR,2019,2/25/2021
FABR,2020,2/25/2021
FABT,2018,NA
FABT,2019,NA
FABT,2020,NA
FABV,2018,8/19/2023
FABW,2019,3/27/2024
FABW,2020,3/27/2024
FABW,2021,3/27/2024
FABW,2022,3/27/2024
FABX,2019,3/2/2022
FABX,2020,3/2/2022
FABX,2021,3/2/2022
FABX,2022,3/2/2022
FABY,2019,3/25/2022
FABY,2020,3/25/2022
FABY,2021,3/25/2022
FAC0,2018,7/1/2021
FAC0,2019,7/1/2021
FAC0,2020,7/1/2021
FAC0,2021,7/1/2021
FAC1,2018,NA
FAC1,2019,NA
FAC1,2020,NA
FAC2,2019,2/27/2021
FAC2,2020,2/27/2021
FAC3,2018,1/31/2022
FAC3,2019,1/31/2022
FAC3,2020,1/31/2022
FAC3,2021,1/31/2022
FAC4,2018,11/26/2022
FAC4,2019,11/26/2022
FAC6,2018,10/5/2023
FAC6,2019,10/5/2023
FAC7,2018,12/1/2021
FAC7,2019,12/1/2021
FAC7,2020,12/1/2021
FAC7,2021,12/1/2021
FAC7,2022,12/1/2021
FAC8,2018,9/11/2023
FAC8,2019,9/11/2023
FAC8,2020,9/11/2023
FAC9,2018,NA
FAC9,2019,NA
FAC9,2020,NA
FACA,2019,3/2/2022
FACA,2020,3/2/2022
FACA,2021,3/2/2022
